failed_password_attempt_count,ip_attempt_count,log_type_encoded,predicted_label,true_label
0,34262,2,1,1
0,17082,2,1,1
0,0,4,0,0
0,40950,2,1,1
0,21555,2,1,1
0,20590,2,1,1
0,35993,2,1,1
0,7488,2,1,1
0,36484,2,1,1
0,30353,2,1,1
0,19590,2,1,1
0,16293,2,1,1
0,6090,2,1,1
0,46989,2,1,1
0,17780,2,1,1
5990,8,1,1,1
0,13956,2,1,1
0,46025,2,1,1
0,22913,2,1,1
0,25285,2,1,1
0,37346,2,1,1
3646,17,1,1,1
0,30037,2,1,1
0,65819,2,1,1
0,24813,2,1,1
0,50623,2,1,1
0,60992,2,1,1
0,3106,2,1,1
0,52712,2,1,1
0,20774,2,1,1
5819,11,1,1,1
0,24237,2,1,1
0,45680,2,1,1
0,47381,2,1,1
0,59676,2,1,1
0,4790,2,1,1
0,38882,2,1,1
0,7999,2,1,1
0,3946,2,1,1
6,1,1,1,1
0,19647,2,1,1
0,9422,2,1,1
0,2105,2,1,1
0,24368,2,1,1
0,63985,2,1,1
0,26198,2,1,1
0,15387,2,1,1
0,32829,2,1,1
0,48626,2,1,1
0,0,4,0,0
2580,15,1,1,1
0,29811,2,1,1
0,9224,2,1,1
0,10755,2,1,1
0,43237,2,1,1
0,42211,2,1,1
0,2420,2,1,1
0,11970,2,1,1
0,39159,2,1,1
0,24412,2,1,1
0,44046,2,1,1
43,15,1,1,1
0,0,4,0,0
0,2315,2,1,1
0,43175,2,1,1
0,50477,2,1,1
0,27137,2,1,1
0,41066,2,1,1
0,32262,2,1,1
0,30156,2,1,1
0,39342,2,1,1
0,20956,2,1,1
0,35688,2,1,1
0,50726,2,1,1
0,43682,2,1,1
0,44015,2,1,1
6474,15,1,1,1
0,8482,2,1,1
0,65213,2,1,1
0,0,4,0,0
0,59832,2,1,1
0,37203,2,1,1
0,15202,2,1,1
0,49535,2,1,1
0,27399,2,1,1
1,32,1,0,0
0,117,2,1,1
0,60191,2,1,1
0,65377,2,1,1
3034,10,1,1,1
0,12969,2,1,1
0,36796,2,1,1
0,9245,2,1,1
665,5,1,1,1
0,46058,2,1,1
0,24939,2,1,1
0,26740,2,1,1
0,24184,2,1,1
0,38122,2,1,1
0,64932,2,1,1
0,30517,2,1,1
0,56488,2,1,1
0,12952,2,1,1
0,4392,2,1,1
0,11957,2,1,1
0,48295,2,1,1
0,3626,2,1,1
0,46865,2,1,1
0,2958,2,1,1
0,20506,2,1,1
0,0,4,0,0
0,26298,2,1,1
0,15791,2,1,1
0,45283,2,1,1
0,6342,2,1,1
0,47737,2,1,1
0,17735,2,1,1
0,523,2,1,1
0,61858,2,1,1
0,32,5,1,1
0,45021,2,1,1
0,24008,2,1,1
0,48241,2,1,1
0,299,2,1,1
0,13471,2,1,1
0,14547,2,1,1
0,20052,2,1,1
0,0,3,0,0
0,156,2,1,1
0,42068,2,1,1
0,57969,2,1,1
0,29524,2,1,1
0,65209,2,1,1
3953,18,1,1,1
0,15731,2,1,1
0,62961,2,1,1
0,5100,2,1,1
0,32167,2,1,1
0,3222,2,1,1
31,15,1,1,1
0,2704,2,1,1
0,17957,2,1,1
0,47087,2,1,1
0,21599,2,1,1
0,24538,2,1,1
0,64082,2,1,1
95,1,1,1,1
0,30532,2,1,1
0,8051,2,1,1
0,46250,2,1,1
0,25205,2,1,1
0,0,4,0,0
1,1,1,0,0
0,17974,2,1,1
0,61161,2,1,1
0,5376,2,1,1
0,13204,2,1,1
0,26158,2,1,1
54,28,1,1,1
0,9899,2,1,1
0,10799,2,1,1
0,32621,2,1,1
0,6055,2,1,1
0,18307,2,1,1
0,564,2,1,1
0,34583,2,1,1
0,0,4,0,0
0,27360,2,1,1
0,22013,2,1,1
0,45287,2,1,1
0,26504,2,1,1
0,47894,2,1,1
0,7086,2,1,1
0,61825,2,1,1
0,2602,2,1,1
0,20889,2,1,1
484,6,1,1,1
0,5874,2,1,1
0,298,2,1,1
0,50809,2,1,1
3429,8,1,1,1
0,19175,2,1,1
0,51830,2,1,1
0,18028,2,1,1
0,0,4,0,0
0,22621,2,1,1
0,28921,2,1,1
0,47433,2,1,1
0,5046,2,1,1
0,44429,2,1,1
0,6399,2,1,1
92,1,1,1,1
0,15522,2,1,1
0,7458,2,1,1
0,5729,2,1,1
0,13676,2,1,1
10,0,1,1,1
0,65903,2,1,1
0,23337,2,1,1
0,53420,2,1,1
0,17393,2,1,1
0,7529,2,1,1
0,22780,2,1,1
0,35915,2,1,1
1,14,1,0,0
0,1,5,0,0
0,49180,2,1,1
0,1339,2,1,1
0,7609,2,1,1
0,19413,2,1,1
0,10206,2,1,1
0,2387,2,1,1
0,30961,2,1,1
0,4499,2,1,1
0,53245,2,1,1
0,46217,2,1,1
0,6545,2,1,1
0,59018,2,1,1
0,48946,2,1,1
0,35365,2,1,1
0,14533,2,1,1
0,2090,2,1,1
0,36616,2,1,1
0,59045,2,1,1
0,62706,2,1,1
0,50046,2,1,1
0,40615,2,1,1
0,22871,2,1,1
0,0,4,0,0
0,16456,2,1,1
0,12154,2,1,1
0,33228,2,1,1
0,9172,2,1,1
0,1264,2,1,1
0,47802,2,1,1
0,43355,2,1,1
0,19862,2,1,1
0,16608,2,1,1
5532,13,1,1,1
0,10092,2,1,1
0,10147,2,1,1
0,31415,2,1,1
0,9509,2,1,1
0,12170,2,1,1
0,58518,2,1,1
0,66475,2,1,1
0,5142,2,1,1
22,1,1,1,1
0,1,5,0,0
0,5254,2,1,1
0,19129,2,1,1
0,44286,2,1,1
0,9784,2,1,1
0,48330,2,1,1
0,0,4,0,0
0,45265,2,1,1
0,9062,2,1,1
0,1082,2,1,1
0,0,4,0,0
0,2443,2,1,1
0,0,4,0,0
0,5130,2,1,1
0,30850,2,1,1
0,38125,2,1,1
0,26510,2,1,1
0,48914,2,1,1
0,32268,2,1,1
0,27668,2,1,1
0,12786,2,1,1
0,50151,2,1,1
0,57492,2,1,1
0,53762,2,1,1
0,8924,2,1,1
0,42259,2,1,1
0,43438,2,1,1
0,25367,2,1,1
0,28114,2,1,1
0,23205,2,1,1
0,1233,2,1,1
0,6642,2,1,1
0,42397,2,1,1
0,0,4,0,0
0,19476,2,1,1
0,61360,2,1,1
0,32950,2,1,1
0,29512,2,1,1
0,1765,2,1,1
0,0,4,0,0
1094,9,1,1,1
0,43629,2,1,1
0,11775,2,1,1
0,26323,2,1,1
0,1726,2,1,1
0,60685,2,1,1
0,13176,2,1,1
0,41227,2,1,1
0,2827,2,1,1
0,48876,2,1,1
59,5,1,1,1
0,34224,2,1,1
0,25140,2,1,1
0,4540,2,1,1
0,0,4,0,0
0,20550,2,1,1
0,36599,2,1,1
0,48408,2,1,1
0,17481,2,1,1
0,55150,2,1,1
0,50008,2,1,1
0,36541,2,1,1
0,48274,2,1,1
0,58900,2,1,1
0,0,4,0,0
0,31595,2,1,1
0,50524,2,1,1
0,25534,2,1,1
0,19001,2,1,1
0,41436,2,1,1
0,7309,2,1,1
0,38548,2,1,1
0,28463,2,1,1
128,16,1,1,1
0,25231,2,1,1
0,34002,2,1,1
0,9807,2,1,1
70,8,1,1,1
0,14786,2,1,1
0,24383,2,1,1
0,26998,2,1,1
0,13929,2,1,1
0,1373,2,1,1
0,35013,2,1,1
0,560,2,1,1
0,11501,2,1,1
0,47333,2,1,1
0,44281,2,1,1
0,25560,2,1,1
3552,1,1,1,1
0,3343,2,1,1
0,13688,2,1,1
0,9901,2,1,1
0,38575,2,1,1
0,30836,2,1,1
0,3960,2,1,1
0,41442,2,1,1
0,8700,2,1,1
0,6478,2,1,1
0,38539,2,1,1
0,25200,2,1,1
0,22839,2,1,1
0,0,4,0,0
0,61530,2,1,1
0,16743,2,1,1
0,58306,2,1,1
0,22486,2,1,1
0,3135,2,1,1
1772,24,1,1,1
0,5456,2,1,1
0,13545,2,1,1
0,29764,2,1,1
3514,1,1,1,1
0,45208,2,1,1
0,33268,2,1,1
0,17742,2,1,1
0,39718,2,1,1
0,18246,2,1,1
0,2207,2,1,1
0,27879,2,1,1
0,22906,2,1,1
0,6661,2,1,1
0,39124,2,1,1
0,347,2,1,1
0,21626,2,1,1
0,17637,2,1,1
0,4622,2,1,1
0,53242,2,1,1
0,18864,2,1,1
0,22685,2,1,1
0,41799,2,1,1
0,17650,2,1,1
0,1318,2,1,1
0,59803,2,1,1
0,0,4,0,0
0,52591,2,1,1
0,61240,2,1,1
0,20534,2,1,1
0,41095,2,1,1
0,9885,2,1,1
0,1,5,0,0
0,40209,2,1,1
0,14835,2,1,1
0,18990,2,1,1
0,11503,2,1,1
0,17382,2,1,1
0,1340,2,1,1
0,28444,2,1,1
0,49529,2,1,1
0,131,2,1,1
0,37077,2,1,1
0,61203,2,1,1
0,32680,2,1,1
0,47453,2,1,1
0,1813,2,1,1
0,1473,2,1,1
0,38707,2,1,1
0,44383,2,1,1
0,21074,2,1,1
0,30247,2,1,1
0,42556,2,1,1
0,58180,2,1,1
0,28087,2,1,1
0,52066,2,1,1
0,834,2,1,1
0,16889,2,1,1
0,4491,2,1,1
0,2340,2,1,1
0,38011,2,1,1
0,30911,2,1,1
0,24265,2,1,1
0,11028,2,1,1
0,16692,2,1,1
0,25482,2,1,1
0,539,2,1,1
0,42135,2,1,1
0,41890,2,1,1
0,18289,2,1,1
0,54188,2,1,1
0,23970,2,1,1
33,6,1,1,1
0,23241,2,1,1
0,27164,2,1,1
0,14761,2,1,1
0,9979,2,1,1
0,48869,2,1,1
0,60520,2,1,1
0,28567,2,1,1
9,60,1,1,1
0,39153,2,1,1
0,8231,2,1,1
0,0,4,0,0
0,45341,2,1,1
0,38949,2,1,1
0,26821,2,1,1
0,49122,2,1,1
0,33674,2,1,1
0,0,4,0,0
0,42697,2,1,1
0,0,4,0,0
0,0,4,0,0
0,12840,2,1,1
0,23740,2,1,1
0,42920,2,1,1
0,86,2,1,1
0,0,4,0,0
0,44184,2,1,1
0,24376,2,1,1
0,61431,2,1,1
0,54736,2,1,1
0,35368,2,1,1
0,29244,2,1,1
0,959,2,1,1
1,2,1,0,0
0,14976,2,1,1
0,62184,2,1,1
0,53125,2,1,1
0,23311,2,1,1
0,11601,2,1,1
0,14827,2,1,1
0,25697,2,1,1
0,1921,2,1,1
0,13897,2,1,1
0,47665,2,1,1
0,56613,2,1,1
0,6828,2,1,1
0,6505,2,1,1
0,13465,2,1,1
0,21371,2,1,1
0,0,4,0,0
0,27516,2,1,1
0,48049,2,1,1
0,5061,2,1,1
0,11624,2,1,1
0,63441,2,1,1
0,1651,2,1,1
0,22075,2,1,1
0,19827,2,1,1
0,2558,2,1,1
0,22206,2,1,1
0,0,4,0,0
0,8291,2,1,1
0,31471,2,1,1
0,38146,2,1,1
0,50540,2,1,1
0,24287,2,1,1
0,14720,2,1,1
0,50049,2,1,1
0,12412,2,1,1
0,36674,2,1,1
0,2264,2,1,1
0,3351,2,1,1
0,51815,2,1,1
0,45766,2,1,1
0,31858,2,1,1
0,29901,2,1,1
0,21281,2,1,1
0,66472,2,1,1
0,39839,2,1,1
0,66437,2,1,1
0,30490,2,1,1
0,42641,2,1,1
0,38085,2,1,1
0,1209,2,1,1
0,60688,2,1,1
0,3506,2,1,1
0,5592,2,1,1
0,12219,2,1,1
0,43944,2,1,1
5,0,1,1,1
0,45540,2,1,1
0,0,4,0,0
0,21827,2,1,1
0,44392,2,1,1
0,66846,2,1,1
0,18493,2,1,1
0,215,2,1,1
0,0,4,0,0
0,25791,2,1,1
0,49331,2,1,1
0,57658,2,1,1
0,1016,2,1,1
0,32326,2,1,1
5030,10,1,1,1
0,15059,2,1,1
0,41190,2,1,1
0,2441,2,1,1
0,0,4,0,0
0,47902,2,1,1
0,38268,2,1,1
0,19225,2,1,1
0,39989,2,1,1
0,43219,2,1,1
0,9357,2,1,1
0,16039,2,1,1
0,60607,2,1,1
0,30506,2,1,1
0,7597,2,1,1
0,9983,2,1,1
0,9982,2,1,1
0,22454,2,1,1
0,25240,2,1,1
0,62646,2,1,1
95,6,1,1,1
0,43699,2,1,1
0,62106,2,1,1
0,11685,2,1,1
0,50501,2,1,1
0,27150,2,1,1
0,63211,2,1,1
0,0,4,0,0
0,43085,2,1,1
0,23793,2,1,1
0,38467,2,1,1
0,16177,2,1,1
22,15,1,1,1
0,33347,2,1,1
0,30093,2,1,1
0,18648,2,1,1
0,1854,2,1,1
0,1978,2,1,1
0,7731,2,1,1
0,18809,2,1,1
0,48014,2,1,1
0,0,4,0,0
0,65541,2,1,1
0,18123,2,1,1
0,16652,2,1,1
1190,9,1,1,1
0,49422,2,1,1
0,5723,2,1,1
0,362,2,1,1
0,46924,2,1,1
0,18631,2,1,1
0,7,5,1,1
0,8737,2,1,1
0,38086,2,1,1
0,47023,2,1,1
0,40536,2,1,1
0,2199,2,1,1
0,7820,2,1,1
1,6,1,0,0
0,33912,2,1,1
0,11212,2,1,1
0,39292,2,1,1
0,36646,2,1,1
0,53766,2,1,1
3885,17,1,1,1
0,9136,2,1,1
0,0,4,0,0
0,25941,2,1,1
0,18869,2,1,1
56,15,1,1,1
0,31730,2,1,1
0,51800,2,1,1
473,0,1,1,1
0,15988,2,1,1
0,6931,2,1,1
0,20167,2,1,1
0,20100,2,1,1
0,5003,2,1,1
0,28491,2,1,1
0,0,4,0,0
0,29260,2,1,1
0,22208,2,1,1
0,0,4,0,0
0,7741,2,1,1
0,47306,2,1,1
0,9928,2,1,1
0,65412,2,1,1
0,6662,2,1,1
0,31030,2,1,1
0,43001,2,1,1
0,37290,2,1,1
0,7492,2,1,1
0,52236,2,1,1
0,32572,2,1,1
0,12853,2,1,1
6458,15,1,1,1
0,22606,2,1,1
0,46441,2,1,1
0,27760,2,1,1
0,21162,2,1,1
0,15235,2,1,1
0,57905,2,1,1
0,30365,2,1,1
2331,8,1,1,1
0,52083,2,1,1
0,12837,2,1,1
0,22087,2,1,1
0,43386,2,1,1
0,19024,2,1,1
1,9,1,0,0
0,26165,2,1,1
0,44717,2,1,1
0,52432,2,1,1
0,44,2,1,1
0,37861,2,1,1
4801,10,1,1,1
0,9767,2,1,1
0,53429,2,1,1
0,21928,2,1,1
0,0,4,0,0
0,58421,2,1,1
0,0,4,0,0
0,44384,2,1,1
0,49543,2,1,1
0,19946,2,1,1
0,49801,2,1,1
1746,24,1,1,1
0,15102,2,1,1
0,28328,2,1,1
0,41653,2,1,1
0,0,3,0,0
0,4,2,0,0
0,0,4,0,0
0,15845,2,1,1
0,20867,2,1,1
0,14973,2,1,1
0,44666,2,1,1
0,2952,2,1,1
0,11957,2,1,1
0,50285,2,1,1
0,31780,2,1,1
0,5120,2,1,1
0,20115,2,1,1
2,0,1,0,0
0,30674,2,1,1
0,16856,2,1,1
0,41725,2,1,1
48,6,1,1,1
0,6962,2,1,1
0,3759,2,1,1
0,46608,2,1,1
0,44320,2,1,1
0,28834,2,1,1
0,9320,2,1,1
0,1843,2,1,1
0,40745,2,1,1
0,658,2,1,1
0,48319,2,1,1
0,26607,2,1,1
0,5290,2,1,1
788,7,1,1,1
0,33171,2,1,1
0,49950,2,1,1
0,12043,2,1,1
0,18811,2,1,1
0,1515,2,1,1
0,239,2,1,1
0,25718,2,1,1
0,56860,2,1,1
0,22536,2,1,1
0,0,4,0,0
0,0,4,0,0
0,28674,2,1,1
0,45194,2,1,1
53,6,1,1,1
0,17552,2,1,1
0,53286,2,1,1
0,3221,2,1,1
0,43242,2,1,1
0,39474,2,1,1
0,49942,2,1,1
0,59314,2,1,1
0,6482,2,1,1
0,41891,2,1,1
0,4140,2,1,1
0,65554,2,1,1
0,21709,2,1,1
0,14708,2,1,1
0,19124,2,1,1
0,15261,2,1,1
0,10544,2,1,1
0,9994,2,1,1
0,14636,2,1,1
0,19806,2,1,1
0,31206,2,1,1
0,7389,2,1,1
0,49005,2,1,1
0,2008,2,1,1
0,12008,2,1,1
0,31209,2,1,1
0,7433,2,1,1
0,49445,2,1,1
1,6,1,0,0
1650,12,1,1,1
0,18268,2,1,1
0,20201,2,1,1
0,24343,2,1,1
6167,12,1,1,1
0,31149,2,1,1
0,11388,2,1,1
0,34385,2,1,1
0,43535,2,1,1
0,226,2,1,1
0,680,2,1,1
0,11155,2,1,1
0,33978,2,1,1
0,55835,2,1,1
0,16380,2,1,1
0,8916,2,1,1
0,24730,2,1,1
0,22558,2,1,1
0,2315,2,1,1
0,9457,2,1,1
1501,11,1,1,1
0,8121,2,1,1
0,34313,2,1,1
0,2997,2,1,1
0,33396,2,1,1
0,13579,2,1,1
0,57123,2,1,1
1955,32,1,1,1
0,1214,2,1,1
0,4368,2,1,1
0,29210,2,1,1
0,7027,2,1,1
0,1469,2,1,1
0,20376,2,1,1
0,0,4,0,0
0,59974,2,1,1
0,2186,2,1,1
0,49997,2,1,1
0,3708,2,1,1
0,57334,2,1,1
0,23238,2,1,1
0,974,2,1,1
0,57288,2,1,1
0,0,4,0,0
0,21834,2,1,1
2534,15,1,1,1
0,48150,2,1,1
0,30731,2,1,1
0,27837,2,1,1
0,3707,2,1,1
0,49186,2,1,1
0,43798,2,1,1
0,41363,2,1,1
0,28609,2,1,1
0,41314,2,1,1
0,33469,2,1,1
0,0,3,0,0
0,21986,2,1,1
0,26080,2,1,1
0,39425,2,1,1
0,0,4,0,0
0,881,2,1,1
0,60886,2,1,1
0,60982,2,1,1
0,34742,2,1,1
0,0,4,0,0
0,66082,2,1,1
0,13747,2,1,1
0,7187,2,1,1
0,45537,2,1,1
0,53451,2,1,1
0,43956,2,1,1
0,48794,2,1,1
0,46576,2,1,1
0,15228,2,1,1
0,36015,2,1,1
0,20288,2,1,1
0,62495,2,1,1
0,28468,2,1,1
0,7056,2,1,1
0,44259,2,1,1
0,26327,2,1,1
0,59486,2,1,1
0,40212,2,1,1
0,32449,2,1,1
10,3,1,1,1
0,55324,2,1,1
0,35018,2,1,1
0,52839,2,1,1
0,27128,2,1,1
0,39776,2,1,1
0,47893,2,1,1
0,7107,2,1,1
1,10,1,0,0
0,42321,2,1,1
0,40452,2,1,1
0,0,4,0,0
0,28001,2,1,1
0,46780,2,1,1
0,37969,2,1,1
0,17416,2,1,1
0,35811,2,1,1
0,57482,2,1,1
0,54777,2,1,1
0,13717,2,1,1
0,26430,2,1,1
0,64458,2,1,1
0,0,4,0,0
0,594,2,1,1
0,15901,2,1,1
0,8026,2,1,1
0,30628,2,1,1
0,0,4,0,0
0,32999,2,1,1
0,19140,2,1,1
0,21066,2,1,1
0,14761,2,1,1
0,19696,2,1,1
0,451,2,1,1
0,61970,2,1,1
0,2984,2,1,1
0,29292,2,1,1
0,20515,2,1,1
0,42365,2,1,1
0,212,2,1,1
0,921,2,1,1
4783,10,1,1,1
0,47417,2,1,1
0,30520,2,1,1
0,6394,2,1,1
0,47396,2,1,1
0,42758,2,1,1
0,66629,2,1,1
0,67109,2,1,1
0,46154,2,1,1
0,20930,2,1,1
0,63011,2,1,1
0,65500,2,1,1
0,4003,2,1,1
0,53456,2,1,1
0,18826,2,1,1
0,17608,2,1,1
0,1516,2,1,1
0,57809,2,1,1
0,46075,2,1,1
0,0,4,0,0
0,29550,2,1,1
0,9115,2,1,1
0,25922,2,1,1
0,34039,2,1,1
0,25625,2,1,1
0,40405,2,1,1
0,23924,2,1,1
0,8841,2,1,1
0,24321,2,1,1
0,23810,2,1,1
0,753,2,1,1
0,38233,2,1,1
0,808,2,1,1
0,55834,2,1,1
0,0,3,0,0
0,43656,2,1,1
0,33290,2,1,1
0,65499,2,1,1
1,1,1,0,0
0,0,4,0,0
0,46331,2,1,1
0,15628,2,1,1
0,10975,2,1,1
0,21208,2,1,1
0,23010,2,1,1
0,23739,2,1,1
404,0,1,1,1
0,52859,2,1,1
0,11781,2,1,1
5416,13,1,1,1
0,63910,2,1,1
0,20253,2,1,1
0,23345,2,1,1
0,28571,2,1,1
0,37508,2,1,1
0,71,5,1,1
0,24263,2,1,1
0,14884,2,1,1
0,34075,2,1,1
0,47819,2,1,1
0,9012,2,1,1
0,57286,2,1,1
0,11500,2,1,1
6105,12,1,1,1
0,27697,2,1,1
0,12230,2,1,1
0,2450,2,1,1
1,1,1,0,0
0,17164,2,1,1
0,62206,2,1,1
0,0,4,0,0
0,15254,2,1,1
0,8695,2,1,1
0,28181,2,1,1
0,1792,2,1,1
0,39787,2,1,1
0,3,5,0,0
0,6844,2,1,1
0,44639,2,1,1
0,5917,2,1,1
0,0,6,1,1
0,3070,2,1,1
0,28459,2,1,1
0,1429,2,1,1
0,62386,2,1,1
0,44003,2,1,1
0,40570,2,1,1
0,40774,2,1,1
0,0,4,0,0
0,30302,2,1,1
0,1753,2,1,1
2747,33,1,1,1
0,54313,2,1,1
0,27985,2,1,1
2660,15,1,1,1
0,8450,2,1,1
0,64731,2,1,1
0,13348,2,1,1
0,43050,2,1,1
0,10605,2,1,1
0,26928,2,1,1
0,20207,2,1,1
3568,16,1,1,1
0,43334,2,1,1
0,17164,2,1,1
0,57580,2,1,1
0,19578,2,1,1
0,0,4,0,0
0,0,4,0,0
0,23886,2,1,1
0,27271,2,1,1
0,45378,2,1,1
0,1847,2,1,1
0,11211,2,1,1
0,39315,2,1,1
0,18687,2,1,1
0,62398,2,1,1
50,6,1,1,1
0,33732,2,1,1
0,3064,2,1,1
0,63144,2,1,1
0,0,4,0,0
0,27072,2,1,1
0,2046,2,1,1
0,12789,2,1,1
63,1,1,1,1
0,27919,2,1,1
0,8727,2,1,1
0,32155,2,1,1
3,10,1,1,1
0,11778,2,1,1
0,50271,2,1,1
0,40688,2,1,1
0,171,2,1,1
0,50445,2,1,1
0,40896,2,1,1
0,55019,2,1,1
399,6,1,1,1
0,18788,2,1,1
0,44659,2,1,1
0,28592,2,1,1
0,26109,2,1,1
0,61623,2,1,1
0,58086,2,1,1
0,44727,2,1,1
0,14625,2,1,1
0,39117,2,1,1
0,30219,2,1,1
0,41857,2,1,1
0,64566,2,1,1
0,20792,2,1,1
0,13198,2,1,1
0,40416,2,1,1
0,56529,2,1,1
0,8345,2,1,1
0,0,4,0,0
0,43342,2,1,1
0,3766,2,1,1
0,824,2,1,1
0,42116,2,1,1
0,46554,2,1,1
0,23589,2,1,1
0,0,4,0,0
0,35715,2,1,1
0,20753,2,1,1
0,23543,2,1,1
0,2056,2,1,1
0,9522,2,1,1
0,20920,2,1,1
0,32045,2,1,1
0,2853,2,1,1
0,48461,2,1,1
0,2699,2,1,1
0,60010,2,1,1
9,0,1,1,1
0,21350,2,1,1
0,3011,2,1,1
0,26913,2,1,1
0,44345,2,1,1
0,56755,2,1,1
0,2766,2,1,1
0,42848,2,1,1
0,26009,2,1,1
0,35266,2,1,1
0,32652,2,1,1
0,18997,2,1,1
0,45632,2,1,1
0,47603,2,1,1
0,17088,2,1,1
0,11146,2,1,1
0,20994,2,1,1
0,375,2,1,1
0,32922,2,1,1
0,56932,2,1,1
0,23465,2,1,1
5176,38,1,1,1
0,29243,2,1,1
0,15054,2,1,1
0,49154,2,1,1
0,46348,2,1,1
0,0,4,0,0
0,54091,2,1,1
0,33547,2,1,1
0,5826,2,1,1
0,35994,2,1,1
0,10096,2,1,1
0,9381,2,1,1
0,43274,2,1,1
0,54066,2,1,1
0,6682,2,1,1
81,32,1,1,1
0,7546,2,1,1
0,37587,2,1,1
0,51563,2,1,1
0,13797,2,1,1
4557,37,1,1,1
0,40464,2,1,1
0,41753,2,1,1
0,0,4,0,0
0,22297,2,1,1
0,6215,2,1,1
0,42219,2,1,1
0,0,8,1,1
0,48479,2,1,1
0,58676,2,1,1
0,37167,2,1,1
0,60920,2,1,1
0,62139,2,1,1
0,49261,2,1,1
0,55265,2,1,1
0,21883,2,1,1
0,46593,2,1,1
0,21906,2,1,1
0,0,4,0,0
0,19247,2,1,1
0,1870,2,1,1
6028,8,1,1,1
0,50151,2,1,1
0,16,5,1,1
0,3242,2,1,1
0,17805,2,1,1
0,0,4,0,0
0,34241,2,1,1
0,0,4,0,0
0,26996,2,1,1
0,16059,2,1,1
0,30037,2,1,1
0,27682,2,1,1
0,29878,2,1,1
0,8746,2,1,1
0,25554,2,1,1
